date,coin,type,price,quantity_trade,quantity_before,quantity_after,cash_before_trade,cash_after_trade,cash_traded
2022-02-07,BTCUSDT,BUY,42423.250869999996,0.0034256897566754675,0.0,0.0034256897566754675,1000.0,854.5256296794469,-145.47437032055313
2022-02-08,XRPUSDT,BUY,0.8322314,577.7027502502438,0.0,577.7027502502438,854.5256296794469,373.26199742257927,-481.2636322568676
2022-02-08,TRXUSDT,BUY,0.06858851999999999,2430.8694465771287,0.0,2430.8694465771287,373.26199742257927,206.36536313434678,-166.8966342882325
2022-02-08,BTCUSDT,BUY,43883.82998999999,0.0005893935408758567,0.0034256897566754675,0.004015083297551324,206.36536313434678,180.4746264526649,-25.890736681681886
2022-02-09,TRXUSDT,SELL,0.06799194,488.7260841899064,2430.8694465771287,1942.1433623872222,180.4746264526649,213.67083161074729,33.19620515808239
2022-02-09,XRPUSDT,BUY,0.8771762999999999,243.34579123847345,577.7027502502438,821.0485414887172,213.67083161074729,0.0,-213.67083161074729
2022-02-10,XRPUSDT,SELL,0.8688303,105.0745063794003,821.0485414887172,715.9740351093169,0.0,91.20062298506632,91.20062298506632
2022-02-10,ETHUSDT,BUY,3247.18394,0.02805798009769698,0.0,0.02805798009769698,91.20062298506632,0.0,-91.20062298506632
2022-02-11,BTCUSDT,SELL,43451.94456,0.004015083297551324,0.004015083297551324,0.0,0.0,174.28871367213316,174.28871367213316
2022-02-11,ETHUSDT,SELL,3069.4175099999998,0.02805798009769698,0.02805798009769698,0.0,174.28871367213316,260.32424742382864,86.03553375169548
2022-02-11,XRPUSDT,SELL,0.8244747,715.9740351093169,715.9740351093169,0.0,260.32424742382864,850.0364227505676,589.7121753267389
2022-02-11,TRXUSDT,BUY,0.0685685,12384.497055175729,1942.1433623872222,14326.64041756295,850.0364227505676,0.0,-850.0364227505676
2022-02-12,TRXUSDT,SELL,0.06392601,11765.341139708353,14326.64041756295,2561.2992778545977,0.0,751.3592040350572,751.3592040350572
2022-02-14,TRXUSDT,SELL,0.06420572999999999,827.4423902689623,2561.2992778545977,1733.8568875856354,751.3592040350572,804.4326201925207,53.0734161574635
2022-02-15,BTCUSDT,BUY,42578.47594,0.004572070216267175,0.0,0.004572070216267175,804.4326201925207,609.5659718448505,-194.8666483476702
2022-02-16,BTCUSDT,SELL,44500.31514,0.0004700940613225107,0.004572070216267175,0.004101976154944665,609.5659718448505,630.4643863852705,20.898414540419935
2022-02-16,HBARUSDT,BUY,0.25915889999999997,1152.4523866421384,0.0,1152.4523866421384,630.4643863852705,331.4971263006346,-298.9672600846359
2022-02-16,ETHUSDT,BUY,3186.7035199999996,0.076702927385456,0.0,0.076702927385456,331.4971263006346,86.82296344424117,-244.67416285639342
2022-02-16,XRPUSDT,BUY,0.8523514999999999,101.76099940083046,0.0,101.76099940083046,86.82296344424117,0.0,-86.82296344424117
2022-02-17,BTCUSDT,SELL,43829.68644,0.0005146128491233879,0.004101976154944665,0.003587363305821277,0.0,22.532764495258046,22.532764495258046
2022-02-17,HBARUSDT,SELL,0.2606391,94.69315805458535,1152.4523866421384,1057.759228587553,22.532764495258046,47.18882324727142,24.656058752013376
2022-02-18,ETHUSDT,SELL,2888.97813,0.023999926812438455,0.076702927385456,0.05270300057301755,47.18882324727142,116.454751666324,69.26592841905259
2022-02-18,HBARUSDT,SELL,0.2342655,407.9341950408312,1057.759228587553,649.8250335467219,116.454751666324,211.9240949264935,95.4693432601695
2022-02-20,BTCUSDT,SELL,40039.09083,0.003587363305821277,0.003587363305821277,0.0,211.9240949264935,355.41522540323865,143.49113047674516
